                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97785,                0.86814,                 1.3558,                0.79822,                0.81494,                0.79696,                0.60627,                 1.0426,                0.99148,                 1.3797,             0.00051283,             0.00051283,             0.00051283
                     35,                0.97516,                0.87882,                 1.3499,                0.76879,                0.80478,                0.77881,                0.59519,                 1.0439,                0.99365,                 1.3954,             0.00050313,             0.00050313,             0.00050313
                     36,                0.96781,                0.85229,                 1.3421,                0.76855,                0.81433,                0.78694,                0.59673,                 1.0639,                0.98427,                  1.387,             0.00049343,             0.00049343,             0.00049343
                     37,                0.94582,                0.83339,                 1.3378,                0.81529,                 0.7909,                0.79042,                0.60124,                 1.0477,                0.97191,                 1.3783,             0.00048373,             0.00048373,             0.00048373
                     38,                0.95866,                0.83665,                  1.342,                0.80984,                0.81335,                 0.7944,                0.60454,                 1.0538,                0.96978,                 1.4073,             0.00047403,             0.00047403,             0.00047403
                     39,                0.94804,                0.82052,                 1.3275,                0.81969,                0.79005,                0.80252,                0.62368,                 1.0067,                0.96698,                 1.3629,             0.00046432,             0.00046432,             0.00046432
                     40,                0.95004,                0.82896,                  1.332,                0.80563,                0.80101,                  0.799,                0.61369,                 1.0144,                0.98057,                  1.341,             0.00045462,             0.00045462,             0.00045462
                     41,                0.93317,                0.80218,                 1.3185,                 0.8169,                0.80441,                 0.7958,                0.60699,                 1.0716,                0.99392,                 1.4017,             0.00044492,             0.00044492,             0.00044492
                     42,                 0.9274,                 0.7902,                 1.3205,                0.81317,                0.79696,                0.79078,                0.61024,                 1.0361,                0.97887,                 1.3756,             0.00043522,             0.00043522,             0.00043522
                     43,                0.92363,                0.79686,                 1.3068,                0.81503,                0.79973,                0.78816,                0.60891,                 1.0308,                 0.9799,                 1.3483,             0.00042552,             0.00042552,             0.00042552
                     44,                0.91258,                0.79369,                 1.3083,                0.80089,                0.80813,                 0.8075,                0.62099,                 1.0528,                0.93331,                 1.4008,             0.00041581,             0.00041581,             0.00041581
                     45,                0.90637,                  0.777,                 1.3004,                   0.84,                0.77771,                0.80764,                0.63024,                  1.057,                0.93688,                 1.3794,             0.00040611,             0.00040611,             0.00040611
                     46,                0.91321,                0.78317,                 1.2975,                0.81617,                 0.8099,                0.80849,                0.62223,                 1.0376,                0.92712,                 1.3759,             0.00039641,             0.00039641,             0.00039641
                     47,                0.89963,                0.76903,                 1.2878,                0.81449,                0.80986,                 0.8078,                0.62536,                 1.0113,                0.93827,                 1.3687,             0.00038671,             0.00038671,             0.00038671
                     48,                0.89158,                0.75944,                 1.2864,                0.82056,                0.81422,                0.81389,                0.62954,                 1.0368,                0.92668,                 1.3622,             0.00037701,             0.00037701,             0.00037701
                     49,                0.88088,                0.73781,                 1.2743,                0.83546,                0.80217,                0.79421,                0.61475,                 1.0594,                0.92304,                 1.3931,              0.0003673,              0.0003673,              0.0003673
                     50,                0.87419,                0.73281,                 1.2724,                  0.804,                0.81882,                0.79578,                0.61436,                  1.036,                0.92548,                 1.3826,              0.0003576,              0.0003576,              0.0003576
                     51,                0.87746,                0.74632,                 1.2731,                0.80736,                0.81454,                0.80344,                0.62988,                0.96878,                0.89551,                 1.3252,              0.0003479,              0.0003479,              0.0003479
                     52,                0.85832,                0.72133,                 1.2651,                0.81834,                0.81147,                 0.8077,                0.62413,                 1.0349,                 0.9162,                 1.3543,              0.0003382,              0.0003382,              0.0003382
                     53,                  0.865,                0.71549,                 1.2706,                0.80865,                0.80751,                0.80804,                0.62134,                 1.0431,                0.94322,                 1.3725,              0.0003285,              0.0003285,              0.0003285
                     54,                0.85669,                0.71854,                 1.2604,                0.85014,                0.79701,                0.79877,                0.61872,                 1.0294,                0.94871,                  1.375,             0.00031879,             0.00031879,             0.00031879
